date,cost
10/12/2021,2781
11/12/2021,1296
12/12/2021,3078
12/12/2021,3420
12/12/2021,2898
13/12/2021,1026
13/12/2021,1224
13/12/2021,5247
13/12/2021,3204
14/12/2021,1026
14/12/2021,900
14/12/2021,3987
14/12/2021,2880
15/12/2021,1395
15/12/2021,657
15/12/2021,2988
15/12/2021,3141
16/12/2021,738
16/12/2021,3366
17/12/2021,1872
17/12/2021,900
17/12/2021,3780
17/12/2021,3843
18/12/2021,657
18/12/2021,1701
19/12/2021,3258
19/12/2021,2853
20/12/2021,846
20/12/2021,531
20/12/2021,675
20/12/2021,4095
21/12/2021,342
21/12/2021,756
21/12/2021,756
21/12/2021,396
21/12/2021,495
21/12/2021,3366
21/12/2021,1539
21/12/2021,1350
22/12/2021,216
22/12/2021,756
22/12/2021,846
22/12/2021,531
22/12/2021,360
22/12/2021,3420
22/12/2021,1593
23/12/2021,261
23/12/2021,576
23/12/2021,576
23/12/2021,531
23/12/2021,405
23/12/2021,3033
23/12/2021,1593
23/12/2021,1350
24/12/2021,261
24/12/2021,576
24/12/2021,531
24/12/2021,495
24/12/2021,3033
24/12/2021,2961
24/12/2021,2025
24/12/2021,1314
,
20/06/2022,811.31
21/06/2022,952.02
21/06/2022,684.03
21/06/2022,1437.73
21/06/2022,1006.81
22/06/2022,0
22/06/2022,556.14
22/06/2022,346.44
22/06/2022,641.91
22/06/2022,1241.69
23/06/2022,1403.46
23/06/2022,1257.92
24/06/2022,138.88
24/06/2022,656.56
24/06/2022,548.81
24/06/2022,283.56
24/06/2022,366.89
24/06/2022,703.26
25/06/2022,106.22
25/06/2022,235.03
25/06/2022,298.52
25/06/2022,568.34
25/06/2022,615.96
25/06/2022,1167.65
25/06/2022,2243.47
26/06/2022,189.55
26/06/2022,190.16
26/06/2022,181.61
26/06/2022,455.87
26/06/2022,2384.02
26/06/2022,2284.21
27/06/2022,720.59
27/06/2022,503.78
27/06/2022,841.97
27/06/2022,844.67
27/06/2022,724.07
27/06/2022,1023.02
28/06/2022,90.24
28/06/2022,640.05
28/06/2022,563.57
28/06/2022,734.8
28/06/2022,812.86
29/06/2022,316.08
29/06/2022,125.44
29/06/2022,309.53
30/06/2022,643.66
01/07/2022,1654.15
01/07/2022,1301.53
01/07/2022,1582.41
02/07/2022,571.01
02/07/2022,547.77
02/07/2022,827.98
02/07/2022,1127.74
02/07/2022,1671.75
03/07/2022,217.49
03/07/2022,810.83
03/07/2022,1337.74
03/07/2022,1241.63
03/07/2022,2615.24
04/07/2022,144.84
04/07/2022,298.03
04/07/2022,164.92
04/07/2022,220.31
04/07/2022,405.33
04/07/2022,979.95
05/07/2022,284.27
05/07/2022,198.31
05/07/2022,127.94
05/07/2022,856.15
05/07/2022,613.88
06/07/2022,71.52
06/07/2022,186.35
07/07/2022,122.96
07/07/2022,350.14
07/07/2022,610.27
08/07/2022,81.9
08/07/2022,143.71
08/07/2022,262.61
09/07/2022,303.22
09/07/2022,740.67
09/07/2022,425.04
09/07/2022,552.51
09/07/2022,600.57
09/07/2022,1355.23
10/07/2022,287.65
10/07/2022,807.22
10/07/2022,1272.88
10/07/2022,246.36
