date,cost
21/02/2021,0
21/02/2021,621
21/02/2021,675
22/02/2021,0
22/02/2021,115.2
22/02/2021,0
22/02/2021,0
22/02/2021,189
22/02/2021,1574.4
23/02/2021,0
23/02/2021,0
23/02/2021,189
23/02/2021,189
23/02/2021,0
23/02/2021,0
23/02/2021,0
24/02/2021,0
24/02/2021,0
24/02/2021,189
24/02/2021,0
25/02/2021,0
25/02/2021,134.4
25/02/2021,0
26/02/2021,134.4
26/02/2021,0
26/02/2021,0
27/02/2021,422.4
28/02/2021,556.8
28/02/2021,441.6
28/02/2021,0
28/02/2021,0
01/03/2021,243
01/03/2021,0
01/03/2021,0
01/03/2021,0
01/03/2021,2995.2
02/03/2021,0
02/03/2021,0
02/03/2021,0
02/03/2021,0
02/03/2021,0
02/03/2021,0
03/03/2021,0
03/03/2021,243
03/03/2021,0
03/03/2021,0
04/03/2021,216
04/03/2021,0
05/03/2021,172.8
05/03/2021,243
05/03/2021,172.8
05/03/2021,1188
06/03/2021,297
07/03/2021,486
07/03/2021,513
07/03/2021,633.6
07/03/2021,576
07/03/2021,1107
08/03/2021,243
08/03/2021,0
08/03/2021,0
08/03/2021,243
08/03/2021,216
08/03/2021,0
08/03/2021,0
09/03/2021,243
09/03/2021,0
09/03/2021,243
09/03/2021,0
09/03/2021,216
09/03/2021,0
09/03/2021,0
10/03/2021,243
10/03/2021,243
10/03/2021,351
11/03/2021,243
11/03/2021,243
11/03/2021,243
11/03/2021,351
12/03/2021,243
12/03/2021,243
12/03/2021,243
13/03/2021,540
14/03/2021,945
14/03/2021,0
14/03/2021,0
14/03/2021,0
14/03/2021,0
14/03/2021,0
14/03/2021,0
,
19/07/2021,360
19/07/2021,450
19/07/2021,0
20/07/2021,810
20/07/2021,360
20/07/2021,1170
21/07/2021,360
21/07/2021,540
21/07/2021,0
21/07/2021,2070
22/07/2021,360
22/07/2021,450
22/07/2021,450
23/07/2021,360
23/07/2021,810
23/07/2021,540
23/07/2021,180
23/07/2021,360
24/07/2021,180
24/07/2021,900
25/07/2021,0
25/07/2021,180
25/07/2021,900
26/07/2021,0
26/07/2021,0
26/07/2021,0
26/07/2021,810
26/07/2021,180
26/07/2021,360
26/07/2021,450
26/07/2021,0
26/07/2021,0
26/07/2021,0
26/07/2021,0
26/07/2021,0
26/07/2021,0
26/07/2021,0
26/07/2021,0
26/07/2021,0
26/07/2021,0
26/07/2021,0
26/07/2021,0
27/07/2021,0
27/07/2021,0
27/07/2021,0
27/07/2021,0
27/07/2021,0
27/07/2021,0
27/07/2021,0
27/07/2021,0
27/07/2021,0
27/07/2021,540
27/07/2021,540
27/07/2021,0
27/07/2021,0
27/07/2021,0
28/07/2021,0
28/07/2021,0
28/07/2021,810
28/07/2021,0
28/07/2021,0
28/07/2021,0
28/07/2021,0
28/07/2021,0
28/07/2021,450
28/07/2021,0
28/07/2021,0
28/07/2021,540
28/07/2021,0
28/07/2021,0
28/07/2021,0
28/07/2021,0
28/07/2021,8550
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
29/07/2021,0
30/07/2021,0
30/07/2021,0
30/07/2021,810
30/07/2021,0
30/07/2021,0
30/07/2021,0
30/07/2021,0
30/07/2021,0
30/07/2021,0
30/07/2021,0
30/07/2021,0
30/07/2021,0
30/07/2021,0
30/07/2021,0
30/07/2021,0
31/07/2021,0
31/07/2021,0
31/07/2021,0
02/08/2021,0
02/08/2021,0
02/08/2021,0
02/08/2021,0
02/08/2021,0
02/08/2021,0
02/08/2021,0
02/08/2021,0
02/08/2021,0
02/08/2021,0
02/08/2021,0
02/08/2021,4500
02/08/2021,0
02/08/2021,0
02/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,0
03/08/2021,2700
03/08/2021,0
03/08/2021,6570
03/08/2021,1170
04/08/2021,0
04/08/2021,0
04/08/2021,540
04/08/2021,360
04/08/2021,0
04/08/2021,540
04/08/2021,450
04/08/2021,0
04/08/2021,0
04/08/2021,0
04/08/2021,0
04/08/2021,0
04/08/2021,0
04/08/2021,0
04/08/2021,0
04/08/2021,0
05/08/2021,0
05/08/2021,0
05/08/2021,0
05/08/2021,0
05/08/2021,0
05/08/2021,0
05/08/2021,0
05/08/2021,2340
05/08/2021,7650
05/08/2021,0
05/08/2021,5850
05/08/2021,0
05/08/2021,0
06/08/2021,0
06/08/2021,0
06/08/2021,540
06/08/2021,0
06/08/2021,0
06/08/2021,0
06/08/2021,0
06/08/2021,0
06/08/2021,0
06/08/2021,720
06/08/2021,0
06/08/2021,0
06/08/2021,0
06/08/2021,0
06/08/2021,0
06/08/2021,0
07/08/2021,0
07/08/2021,0
07/08/2021,0
07/08/2021,0
07/08/2021,0
07/08/2021,1080
07/08/2021,630
07/08/2021,0
07/08/2021,0
07/08/2021,0
07/08/2021,0
08/08/2021,180
08/08/2021,0
08/08/2021,0
08/08/2021,810
08/08/2021,990
08/08/2021,990
08/08/2021,540
08/08/2021,0
08/08/2021,0
08/08/2021,1710
08/08/2021,0
08/08/2021,0
10/11/2021,0
11/11/2021,0
11/11/2021,0
12/11/2021,0
14/11/2021,1260
17/11/2021,720
20/11/2021,450
20/11/2021,630
20/11/2021,990
20/11/2021,1080
23/11/2021,990
23/11/2021,19710
