date,cost
30/11/2020,936
30/11/2020,332.8
30/11/2020,450
30/11/2020,409.6
30/11/2020,66.6
30/11/2020,90.8
30/11/2020,558
30/11/2020,1280
30/11/2020,204.8
30/11/2020,64
30/11/2020,230.4
30/11/2020,270
01/12/2020,64
02/12/2020,204.8
02/12/2020,179.2
02/12/2020,102.4
02/12/2020,307.2
02/12/2020,50
02/12/2020,268.8
02/12/2020,846
02/12/2020,169
02/12/2020,537.6
02/12/2020,934.4
02/12/2020,330.2
02/12/2020,1561.6
02/12/2020,410.4
02/12/2020,844.8
02/12/2020,524.8
02/12/2020,384
03/12/2020,183.6
03/12/2020,73
03/12/2020,435.2
03/12/2020,112.6
03/12/2020,665.6
03/12/2020,268.8
03/12/2020,450
03/12/2020,83.2
03/12/2020,73
03/12/2020,281.6
03/12/2020,1944
03/12/2020,3996
03/12/2020,184.4
03/12/2020,1080
03/12/2020,202.2
03/12/2020,900
03/12/2020,271.8
03/12/2020,396
04/12/2020,221.4
04/12/2020,192
04/12/2020,77.4
04/12/2020,128
04/12/2020,288
04/12/2020,384
04/12/2020,409.6
04/12/2020,432
04/12/2020,1100.8
04/12/2020,780.8
04/12/2020,170.2
04/12/2020,300.6
04/12/2020,1134
04/12/2020,846
05/12/2020,652.8
06/12/2020,102.4
06/12/2020,140.8
06/12/2020,75.6
07/12/2020,76.8
07/12/2020,102.4
07/12/2020,324
07/12/2020,468
07/12/2020,378
07/12/2020,288
07/12/2020,64.8
07/12/2020,576
07/12/2020,499.2
07/12/2020,294.4
07/12/2020,432
07/12/2020,61.4
07/12/2020,342
07/12/2020,558
07/12/2020,221.4
07/12/2020,307.2
07/12/2020,306
07/12/2020,64
08/12/2020,270
08/12/2020,435.2
08/12/2020,307.2
08/12/2020,256
08/12/2020,294.4
08/12/2020,665.6
08/12/2020,256
08/12/2020,268.8
08/12/2020,34.6
08/12/2020,450
08/12/2020,307.2
08/12/2020,69.2
08/12/2020,432
08/12/2020,332.8
08/12/2020,113.4
08/12/2020,558
08/12/2020,576
08/12/2020,601.6
08/12/2020,792
08/12/2020,576
08/12/2020,208.8
08/12/2020,307.2
08/12/2020,157.4
08/12/2020,37.2
08/12/2020,76.8
08/12/2020,153.6
09/12/2020,109.8
09/12/2020,648
09/12/2020,396
10/12/2020,98.6
10/12/2020,89.6
10/12/2020,85.8
11/12/2020,76.8
11/12/2020,144
11/12/2020,601.6
11/12/2020,450
11/12/2020,268.8
11/12/2020,65.2
11/12/2020,384
11/12/2020,409.6
11/12/2020,63
11/12/2020,243.2
11/12/2020,468
11/12/2020,243.2
11/12/2020,396.8
11/12/2020,601.6
11/12/2020,201
11/12/2020,882
11/12/2020,2304
11/12/2020,190.8
11/12/2020,1602
11/12/2020,684
11/12/2020,307.2
11/12/2020,294.4
11/12/2020,69.2
11/12/2020,162
11/12/2020,76.8
12/12/2020,342
12/12/2020,371.2
12/12/2020,217.6
12/12/2020,324
12/12/2020,396.8
12/12/2020,230.4
12/12/2020,450
12/12/2020,171
12/12/2020,435.2
12/12/2020,396
12/12/2020,320
12/12/2020,522
12/12/2020,435.2
12/12/2020,648
12/12/2020,702
12/12/2020,550.4
12/12/2020,102.4
12/12/2020,1152
12/12/2020,460.8
12/12/2020,345.6
12/12/2020,1177.6
12/12/2020,345.6
12/12/2020,678.4
12/12/2020,1494
12/12/2020,652.8
12/12/2020,88.4
12/12/2020,43.6
12/12/2020,268.8
12/12/2020,281.6
13/12/2020,76.8
13/12/2020,115.2
13/12/2020,294.4
13/12/2020,268.8
13/12/2020,345.6
13/12/2020,396
13/12/2020,103.6
13/12/2020,563.2
13/12/2020,684
13/12/2020,435.2
13/12/2020,345.6
13/12/2020,75.6
13/12/2020,648
13/12/2020,666
13/12/2020,320
13/12/2020,122.4
13/12/2020,947.2
13/12/2020,536.4
13/12/2020,1620
13/12/2020,810
13/12/2020,306
13/12/2020,128
13/12/2020,140.8
13/12/2020,115.2
14/12/2020,198
14/12/2020,576
14/12/2020,601.6
14/12/2020,342
14/12/2020,558
14/12/2020,307.2
14/12/2020,342
14/12/2020,96
14/12/2020,558
14/12/2020,1782
14/12/2020,175.4
14/12/2020,33.2
14/12/2020,153.6
14/12/2020,270
15/12/2020,204.8
15/12/2020,252
15/12/2020,432
15/12/2020,102.4
15/12/2020,396.8
15/12/2020,432
15/12/2020,66.6
15/12/2020,74.2
15/12/2020,80.6
15/12/2020,810
15/12/2020,332.8
15/12/2020,214.2
15/12/2020,576
15/12/2020,52.2
16/12/2020,44.8
16/12/2020,43.6
16/12/2020,281.6
17/12/2020,138.6
17/12/2020,172.8
17/12/2020,742.4
18/12/2020,140.8
18/12/2020,288
18/12/2020,601.6
18/12/2020,342
18/12/2020,522
18/12/2020,468
18/12/2020,409.6
18/12/2020,342
18/12/2020,64
18/12/2020,86.4
18/12/2020,281.6
18/12/2020,201
18/12/2020,307.2
18/12/2020,1440
18/12/2020,640
18/12/2020,601.6
18/12/2020,1088
18/12/2020,226.8
18/12/2020,97.2
18/12/2020,268.8
18/12/2020,108
19/12/2020,342
19/12/2020,358.4
19/12/2020,217.6
19/12/2020,486
19/12/2020,281.6
19/12/2020,307.2
19/12/2020,307.2
19/12/2020,324
19/12/2020,396
19/12/2020,51.2
19/12/2020,102.4
19/12/2020,729.6
19/12/2020,558
19/12/2020,345.6
19/12/2020,245.8
19/12/2020,1656
