date,transactions,revenue,black Friday
3/29/2020,121,35980.84,0
3/30/2020,107,37214.79,0
3/31/2020,115,37956.45,0
4/1/2020,135,47426.49,0
4/2/2020,129,41111.72,0
4/3/2020,154,51209.49,0
4/4/2020,130,41804.31,0
4/5/2020,118,40109.15,0
4/6/2020,157,49236.97,0
4/7/2020,134,44822.14,0
4/8/2020,129,42737.62,0
4/9/2020,156,47235.06,0
4/10/2020,133,44459.13,0
4/11/2020,114,38576.67,0
4/12/2020,126,41839.26,0
4/13/2020,163,54808.04,0
4/14/2020,129,41463.79,0
4/15/2020,131,39983.89,0
4/16/2020,112,32240.47,0
4/17/2020,163,49560.36,0
4/18/2020,182,58278.54,0
4/19/2020,132,40097.21,0
4/20/2020,176,53433.27,0
4/21/2020,116,35081.96,0
4/22/2020,107,33983.46,0
4/23/2020,102,32430.3,0
4/24/2020,109,32875.44,0
4/25/2020,114,36910.64,0
4/26/2020,102,33917.29,0
4/27/2020,152,44877.08,0
4/28/2020,105,32551.75,0
4/29/2020,140,45584.23,0
4/30/2020,126,40945.31,0
5/1/2020,124,39368.69,0
5/2/2020,122,39282.99,0
5/3/2020,100,30534.71,0
5/4/2020,136,40549.62,0
5/5/2020,159,48316.36,0
5/6/2020,132,40852.61,0
5/7/2020,144,46449.52,0
5/8/2020,129,40161.46,0
5/9/2020,125,38953.57,0
5/10/2020,155,51739.53,0
5/11/2020,143,44653.56,0
5/12/2020,114,34881.17,0
5/13/2020,134,41368.9,0
5/14/2020,127,40621.01,0
5/15/2020,122,38826.41,0
5/16/2020,142,44102.99,0
5/17/2020,165,54644.74,0
5/18/2020,156,47186.74,0
5/19/2020,152,50790.16,0
5/20/2020,120,42393.81,0
5/21/2020,154,49640.19,0
5/22/2020,129,39203.87,0
5/23/2020,137,42000.99,0
5/24/2020,178,55874.41,0
5/25/2020,198,65514.05,0
5/26/2020,141,45563.67,0
5/27/2020,128,38345.35,0
5/28/2020,162,52597.94,0
5/29/2020,151,44506.48,0
5/30/2020,151,47847.61,0
5/31/2020,206,63154.48,0
6/1/2020,215,66395.6,0
6/2/2020,172,54797.27,0
6/3/2020,183,57118.47,0
6/4/2020,162,53286.18,0
6/5/2020,154,52498.07,0
6/6/2020,148,41967.29,0
6/7/2020,211,62788.11,0
6/8/2020,196,62032.8,0
6/9/2020,161,49862.59,0
6/10/2020,180,55939.18,0
6/11/2020,159,48752.97,0
6/12/2020,149,47042.47,0
6/13/2020,177,56700.07,0
6/14/2020,181,56901.97,0
6/15/2020,227,67843.21,0
6/16/2020,170,51384.53,0
6/17/2020,140,41186.42,0
6/18/2020,169,50636.13,0
6/19/2020,148,47126.68,0
6/20/2020,134,42054.88,0
6/21/2020,129,38637.62,0
6/22/2020,158,53790.71,0
