date,transactions,revenue,black Friday
5/19/2022,272,85329.63,0
5/20/2022,208,68177.65,0
5/21/2022,188,60821.15,0
5/22/2022,254,81477.82,0
5/23/2022,364,117450.7,0
5/24/2022,313,101296.21,0
5/25/2022,256,86434.5,0
5/26/2022,277,92409.14,0
5/27/2022,290,94124.87,0
5/28/2022,242,78177.95,0
5/29/2022,340,109665.17,0
5/30/2022,430,146006.99,0
5/31/2022,401,137260.4,0
6/1/2022,438,149249.86,0
6/2/2022,369,122733.61,0
6/3/2022,333,111034.33,0
6/4/2022,298,98575.82,0
6/5/2022,355,120028.69,0
6/6/2022,487,192824.21,0
6/7/2022,366,124041.8,0
6/8/2022,393,127567.7,0
6/9/2022,331,110691.44,0
6/10/2022,304,101311.06,0
6/11/2022,265,89937.18,0
6/12/2022,336,108705.2,0
6/13/2022,389,136639.61,0
6/14/2022,296,102154.14,0
6/15/2022,288,93997.85,0
6/16/2022,236,74248.15,0
6/17/2022,210,78793.13,0
6/18/2022,185,64169.27,0
6/19/2022,287,92022.79,0
6/20/2022,333,110289.38,0
6/21/2022,246,77829.59,0
6/22/2022,373,128132.1,0
6/23/2022,302,98872.5,0
6/24/2022,242,78749.63,0
6/25/2022,268,96537.69,0
6/26/2022,362,111731.39,0
6/27/2022,409,137593.6,0
6/28/2022,338,129669.87,0
6/29/2022,377,125917.4,0
6/30/2022,307,104583.17,0
7/1/2022,305,99011.32,0
7/2/2022,300,100782.84,0
7/3/2022,394,134220.97,0
7/4/2022,395,135900.49,0
7/5/2022,382,133858.88,0
7/6/2022,302,123628.2,0
7/7/2022,292,103802.82,0
7/8/2022,254,91329.37,0
7/9/2022,214,72484.04,0
7/10/2022,262,94055.23,0
7/11/2022,327,122825.85,0
7/12/2022,277,97877.65,0
7/13/2022,227,92173.4,0
7/14/2022,273,94353.56,0
7/15/2022,202,73834.15,0
7/16/2022,167,61943.36,0
7/17/2022,248,89496.37,0
7/18/2022,270,99204.53,0
7/19/2022,253,105486.21,0
7/20/2022,249,82525.69,0
7/21/2022,210,75905.12,0
7/22/2022,236,88844.29,0
7/23/2022,231,87145.97,0
7/24/2022,280,100313,0
7/25/2022,369,128930.93,0
7/26/2022,278,111907.72,0
7/27/2022,275,95643.63,0
7/28/2022,275,103227.31,0
7/29/2022,300,136899.22,0
7/30/2022,262,95789.74,0
7/31/2022,320,114200.9,0
8/1/2022,487,178254.14,0
8/2/2022,279,108809.14,0
8/3/2022,277,110595.04,0
8/4/2022,244,90112.26,0
8/5/2022,293,105512.86,0
8/6/2022,297,107739,0
8/7/2022,294,99822.36,0
8/8/2022,394,143425.54,0
8/9/2022,268,104535.14,0
8/10/2022,239,86471.18,0
8/11/2022,211,79463.84,0
8/12/2022,196,74714.5,0
8/13/2022,176,64242.5,0
8/14/2022,218,76530.41,0
8/15/2022,301,105356.19,0
8/16/2022,240,85755.73,0
8/17/2022,274,100482.38,0
8/18/2022,208,78651.6,0
8/19/2022,226,86963,0
8/20/2022,214,69149.31,0
8/21/2022,297,99820.16,0
8/22/2022,361,122948.01,0
8/23/2022,300,111987.7,0
8/24/2022,270,91969.3,0
8/25/2022,303,105271.45,0
8/26/2022,273,86529.27,0
8/27/2022,258,85668.54,0
8/28/2022,326,103906.83,0
8/29/2022,437,142717.34,0
8/30/2022,299,103607.62,0
8/31/2022,379,130784.81,0
9/1/2022,371,130061.59,0
9/2/2022,329,116090.8,0
9/3/2022,296,100656.35,0
9/4/2022,386,130929.9,0
9/5/2022,376,132552.12,0
9/6/2022,358,126611.4,0
9/7/2022,378,123648.36,0
9/8/2022,297,109100,0
9/9/2022,306,111320.25,0
9/10/2022,333,121476.15,0
9/11/2022,397,137569.14,0
9/12/2022,371,133690.66,0
9/13/2022,259,89941.79,0
9/14/2022,243,92525.48,0
9/15/2022,230,85960.31,0
9/16/2022,255,95813.88,0
9/17/2022,272,99838.24,0
9/18/2022,340,127308.78,0
9/19/2022,353,129416.45,0
9/20/2022,251,96808.93,0
9/21/2022,251,107558.73,0
9/22/2022,265,92870.04,0
9/23/2022,283,99336.25,0
9/24/2022,274,88774.36,0
9/25/2022,398,139912.27,0
9/26/2022,354,126264.12,0
9/27/2022,349,121857.44,0
9/28/2022,268,93321.05,0
9/29/2022,256,95612.69,0
9/30/2022,232,87479.9,0
10/1/2022,297,115673.22,0
10/2/2022,369,139874.67,0
10/3/2022,359,143258.42,0
10/4/2022,268,98368.2,0
10/5/2022,321,125737.16,0
10/6/2022,339,123357.32,0
10/7/2022,248,94142.26,0
10/8/2022,222,86642.21,0
10/9/2022,324,123207.39,0
10/10/2022,305,110045.38,0
10/11/2022,240,91064.34,0
10/12/2022,298,114604.75,0
10/13/2022,288,103496.97,0
10/14/2022,282,128360.15,0
10/15/2022,227,87347.54,0
10/16/2022,285,105059.41,0
10/17/2022,375,137388.49,0
10/18/2022,334,125336.46,0
10/19/2022,205,76114.92,0
10/20/2022,233,86937.5,0
10/21/2022,189,70806.95,0
10/22/2022,246,88085.49,0
10/23/2022,317,113449.15,0
10/24/2022,326,140832.78,0
10/25/2022,290,109452.71,0
10/26/2022,299,114792.08,0
10/27/2022,335,126667.66,0
10/28/2022,258,95985.49,0
10/29/2022,250,91267.7,0
10/30/2022,311,120506.96,0
10/31/2022,354,128067.55,0
11/1/2022,422,160687.64,0
11/2/2022,329,131951.2,0
11/3/2022,310,119090.05,0
11/4/2022,357,135402.75,0
11/5/2022,340,130723.26,0
11/6/2022,361,128830.81,0
11/7/2022,380,148093.2,0
11/8/2022,252,102692.19,0
11/9/2022,250,102105.51,0
11/10/2022,255,105488.2,1
11/11/2022,380,146200.07,1
11/12/2022,295,110137.91,1
11/13/2022,396,149659.42,1
11/14/2022,363,141060.79,1
11/15/2022,296,112854.69,1
11/16/2022,364,134302.21,1
11/17/2022,338,154953.74,1
11/18/2022,459,182384.62,1
11/19/2022,505,202204.63,1
11/20/2022,683,262768.64,1
11/21/2022,670,310381.47,1
11/22/2022,480,183313.78,1
11/23/2022,579,232209.49,1
11/24/2022,736,275540.62,1
11/25/2022,2033,794698.85,1
11/26/2022,996,388225.47,1
11/27/2022,1745,682528.22,1
11/28/2022,1176,455233.42,1
11/29/2022,685,272605.75,1
11/30/2022,710,281330.47,1
12/1/2022,535,228390.87,1
12/2/2022,399,172080.42,1
12/3/2022,536,225810.21,1
12/4/2022,810,319056.74,1
12/5/2022,815,316004.67,1
12/6/2022,528,217755.79,1
12/7/2022,583,238005.34,1
12/8/2022,708,290876.34,0
12/9/2022,601,236488.69,0
12/10/2022,700,275738.12,0
12/11/2022,1145,451528.74,0
12/12/2022,823,352091.47,0
12/13/2022,609,267850.41,0
12/14/2022,688,286762.82,0
12/15/2022,785,312370.23,0
12/16/2022,659,263009.97,0
12/17/2022,732,286317.52,0
12/18/2022,647,251388.44,0
12/19/2022,926,389418.68,0
12/20/2022,560,229298.57,0
12/21/2022,466,188572.34,0
12/22/2022,323,132086.54,0
12/23/2022,334,134708.08,0
12/24/2022,215,89510.96,0
12/25/2022,422,177845.4,0
12/26/2022,794,320406.07,0
12/27/2022,456,191848.34,0
12/28/2022,522,212301.16,0
12/29/2022,428,197011.9,0
12/30/2022,405,161425.49,0
12/31/2022,242,94708.7,0
